"ASSESSMENT_UNIT_ID","PARAM_NAME","ACTION_ID","ACTION_TYPE","OWRD_Basin"
"OR_LK_1707010106_88_100132","AMMONIA",1362,"TMDL","Columbia River"
"OR_LK_1707010106_88_100132","PH",1362,"TMDL","Columbia River"
"OR_LK_1707010114_88_100140","DISSOLVED OXYGEN",39753,"TMDL","Columbia River"
"OR_LK_1707010114_88_100140","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","Columbia River"
"OR_SR_1708000108_88_100673","ESCHERICHIA COLI (E. COLI)",11395,"TMDL","Columbia River"
"OR_SR_1708000302_88_100669","ESCHERICHIA COLI (E. COLI)",30674,"TMDL","Columbia River"
"OR_SR_1708000302_88_100670","ESCHERICHIA COLI (E. COLI)",30674,"TMDL","Columbia River"
"OR_SR_1708000302_88_100670","MERCURY",30674,"TMDL","Columbia River"
"OR_SR_1708000309_04_100666","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","Columbia River"
"OR_WS_171200060101_05_106739","TEMPERATURE",2352,"TMDL","Goose & Summer Lakes"
"OR_SR_1706010403_02_103318","DISSOLVED OXYGEN",489,"TMDL","Grande Ronde"
"OR_SR_1706010403_02_103318","PH",489,"TMDL","Grande Ronde"
"OR_SR_1706010404_02_103553","DISSOLVED OXYGEN",489,"TMDL","Grande Ronde"
"OR_SR_1706010404_02_103553","PH",489,"TMDL","Grande Ronde"
"OR_SR_1706010405_02_103325","DISSOLVED OXYGEN",489,"TMDL","Grande Ronde"
"OR_SR_1706010405_02_103325","PH",489,"TMDL","Grande Ronde"
"OR_SR_1706010411_02_103339","DISSOLVED OXYGEN",489,"TMDL","Grande Ronde"
"OR_SR_1706010411_02_103339","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_SR_1706010411_02_103339","PH",489,"TMDL","Grande Ronde"
"OR_SR_1706010501_02_103344","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_SR_1706010501_02_103347","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_SR_1706010502_02_103348","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_SR_1706010503_02_103351","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_SR_1706010505_02_103361","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_SR_1706010506_02_103362","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_WS_170601040404_02_103447","DISSOLVED OXYGEN",489,"TMDL","Grande Ronde"
"OR_WS_170601040404_02_103447","PH",489,"TMDL","Grande Ronde"
"OR_WS_170601050102_02_103484","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_WS_170601050103_02_103485","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_WS_170601050104_02_103486","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_WS_170601050105_02_103487","ESCHERICHIA COLI (E. COLI)",39294,"TMDL","Grande Ronde"
"OR_SR_1707020104_05_101527","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020104_05_101527","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_SR_1707020107_05_101537","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020109_05_101547","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020109_05_101547","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_SR_1707020110_05_101552","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020110_05_101552","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_SR_1707020111_05_102568","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020202_05_101571","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020203_05_101574","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020210_05_101613","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020210_05_101613","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_SR_1707020303_05_101624","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020402_05_101644","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020402_05_101644","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_SR_1707020410_05_101700","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020410_05_101700","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_SR_1707020410_05_101701","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020410_05_101701","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_SR_1707020414_05_101712","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_SR_1707020414_05_101712","ESCHERICHIA COLI (E. COLI)",39753,"TMDL","John Day"
"OR_WS_170702010403_05_102035","DISSOLVED OXYGEN",39753,"TMDL","John Day"
"OR_LK_1801020412_88_100474","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_LK_1801020412_88_100474","HARMFUL ALGAL BLOOMS",42375,"TMDL","Klamath"
"OR_LK_1801020604_05_100490","AMMONIA",42375,"TMDL","Klamath"
"OR_LK_1801020604_05_100491","AMMONIA",42375,"TMDL","Klamath"
"OR_LK_1801020604_05_100491","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_LK_1801020604_05_100491","PH",42375,"TMDL","Klamath"
"OR_SR_1801020104_05_107179","TEMPERATURE",2352,"TMDL","Klamath"
"OR_SR_1801020106_05_106967","CHLOROPHYLL-A",2352,"TMDL","Klamath"
"OR_SR_1801020106_05_106967","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020106_05_106967","PH",2352,"TMDL","Klamath"
"OR_SR_1801020106_05_106967","TEMPERATURE",2352,"TMDL","Klamath"
"OR_SR_1801020204_05_106972","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020204_05_106973","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020205_05_106976","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020206_05_106977","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020207_05_106978","CHLOROPHYLL-A",2352,"TMDL","Klamath"
"OR_SR_1801020207_05_106978","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020207_05_106978","PH",2352,"TMDL","Klamath"
"OR_SR_1801020207_05_106978","TEMPERATURE",2352,"TMDL","Klamath"
"OR_SR_1801020301_05_106979","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","AMMONIA",42375,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","CHLOROPHYLL-A",2352,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","PH",2352,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","PH",42375,"TMDL","Klamath"
"OR_SR_1801020303_88_106981","TEMPERATURE",2352,"TMDL","Klamath"
"OR_SR_1801020405_05_107166","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020405_05_107166","PH",42375,"TMDL","Klamath"
"OR_SR_1801020406_05_106988","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020406_05_106988","PH",42375,"TMDL","Klamath"
"OR_SR_1801020407_05_107185","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020407_05_107185","PH",42375,"TMDL","Klamath"
"OR_SR_1801020409_05_107184","AMMONIA",42375,"TMDL","Klamath"
"OR_SR_1801020409_05_107184","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020409_05_107184","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_SR_1801020409_05_107184","PH",42375,"TMDL","Klamath"
