ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_LK_1707010102_88_100147,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",NA
OR_LK_1707010102_88_100147,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,NA
OR_LK_1707010106_88_100132,AMMONIA,6,1362,Ammonia,Columbia River
OR_LK_1707010106_88_100132,PH,124,1362,pH,Columbia River
OR_LK_1707010106_88_100133,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010106_88_100146,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010114_88_100131,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",NA
OR_LK_1707010114_88_100140,DISSOLVED OXYGEN,154,39753,Dissolved Oxygen,Columbia River
OR_LK_1707010114_88_100140,ESCHERICHIA COLI (E. COLI),76,39753,E. coli,Columbia River
OR_LK_1707010504_88_100137,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010504_88_100137,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_LK_1707010504_88_100138,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010504_88_100138,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Hood
OR_LK_1707010511_88_100135,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1707010511_88_100135,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Hood
OR_LK_1707010511_88_100136,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1708000605_04_107234,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",North Coast
OR_SR_1708000108_88_100673,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_SR_1708000108_88_100673,ESCHERICHIA COLI (E. COLI),76,11395,E. coli,Columbia River
OR_SR_1708000108_88_100673,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_SR_1708000302_88_100669,ESCHERICHIA COLI (E. COLI),76,30674,E. coli,Columbia River
OR_SR_1708000302_88_100670,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_SR_1708000302_88_100670,ESCHERICHIA COLI (E. COLI),76,30674,E. coli,Columbia River
OR_SR_1708000302_88_100670,MERCURY,104,30674,Mercury (total),Columbia River
OR_SR_1708000302_88_100670,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_SR_1708000309_04_100662,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_SR_1708000309_04_100662,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_SR_1708000309_04_100664,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_SR_1708000309_04_100664,TEMPERATURE,132,9447,Temperature,Columbia River
OR_SR_1708000309_04_100664,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_SR_1708000309_04_100666,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,Columbia River
OR_LK_1707010504_88_100139,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_WS_171200060101_05_106739,TEMPERATURE,132,2352,Temperature,Goose & Summer Lakes
OR_WS_180102040501_05_107106,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_LK_1705020107_05_100582,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,NA
