OBJECTID,AU_ID,AU_Name,AU_WBType,AU_UseCode,AU_LenMile,AU_AreaAcr,HUC12,AQWMS_NUM,AQWMS_TXT
1,99,,0,99,15845.06203,0,1.70703E+11,99,99
2,OR_CL_1710020102_106224,Ecola State Park,566,1,5.263571282,0,1.71002E+11,106224,106224
3,OR_CL_1710020102_106225,Cannon Beach,566,1,3.557528406,0,1.71002E+11,106225,106225
4,OR_CL_1710020102_106226,Del Rey Beach State Recreation Site,566,1,5.292541041,0,1.71002E+11,106226,106226
5,OR_CL_1710020102_106227,Tolovana State Park Beach,566,1,1.357033207,0,1.71002E+11,106227,106227
6,OR_CL_1710020102_106228,Arcadia State Park Beach,566,1,1.850509292,0,1.71002E+11,106228,106228
7,OR_CL_1710020102_106229,Cape Falcon Shoreside Marine Protected Area,566,1,3.427528394,0,1.71002E+11,106229,106229
8,OR_CL_1710020102_106230,Devils Cauldron,566,1,2.60103579,0,1.71002E+11,106230,106230
9,OR_CL_1710020102_106231,Manzanita Beach,566,1,1.759430247,0,1.71002E+11,106231,106231
10,OR_CL_1710020102_106232,Nehalem Bay State Park Beach,566,1,3.91180793,0,1.71002E+11,106232,106232
11,OR_CL_1710020102_106267,Fort Stevens State Park Beach,566,1,5.589725658,0,1.71002E+11,106267,106267
12,OR_CL_1710020102_106268,Sunset Beach,566,1,4.491343926,0,1.71002E+11,106268,106268
13,OR_CL_1710020102_106275,Seaside Beach,566,1,2.708537313,0,1.71002E+11,106275,106275
14,OR_CL_1710020102_106276,Indian Beach at Ecola State Park,566,1,1.502322134,0,1.71002E+11,106276,106276
15,OR_CL_1710020102_106277,Oswald West State Park,566,1,3.248466519,0,1.71002E+11,106277,106277
16,OR_CL_1710020102_106278,Hug Point State Park Beach,566,1,0.489880717,0,1.71002E+11,106278,106278
17,OR_CL_1710020102_106279,Short Sand Beach,566,1,0.790339899,0,1.71002E+11,106279,106279
18,OR_CL_1710020310_106233,Barview County Park Beach,566,1,1.780817069,0,1.71002E+11,106233,106233
19,OR_CL_1710020310_106234,Manhattan Beach State Park,566,1,1.590962418,0,1.71002E+11,106234,106234
20,OR_CL_1710020310_106235,Rockaway Beach,566,1,2.481534325,0,1.71002E+11,106235,106235
21,OR_CL_1710020310_106236,Twin Rocks Beach,566,1,0.792013959,0,1.71002E+11,106236,106236
22,OR_CL_1710020310_106237,Bob Straub State Park Beach,566,1,3.003549294,0,1.71002E+11,106237,106237
