AU_ID,ben_use_code
OR_SR_1712000601_05_106494,5
OR_WS_171002010103_05_106209,5
OR_LK_1707010511_88_100135,88
OR_SR_1710020601_02_105055,2
OR_SR_1710020407_02_105987,2
OR_SR_1710030906_02_106343,2
OR_WS_170900120303_02_104559,2
OR_SR_1709000503_02_103906,2
OR_SR_1710030803_02_105795,2
OR_WS_170900040403_02_104324,2
OR_WS_170502030105_05_103155,5
OR_WS_170703010201_05_102275,5
OR_SR_1708000108_88_100671,88
OR_WS_170601060503_02_103543,2
OR_SR_1710020305_05_106214,5
OR_WS_171200020306_05_106559,5
OR_SR_1709000602_02_103941,2
OR_SR_1707010306_02_101483,2
OR_SR_1710020305_05_105912,5
OR_SR_1709000703_05_104014,5
OR_SR_1707020303_05_101626,5
OR_WS_170900110606_02_104548,2
OR_WS_170502030404_05_103171,5
OR_SR_1705011702_05_103270,5
OR_WS_170703070101_05_102544,5
OR_EB_1710030404_01_100286,2
OR_WS_171003070106_02_105716,2
OR_WS_170501161101_05_103019,5
OR_WS_170601041102_02_103479,2
OR_WS_171002030206_05_106105,5
OR_SR_1706010203_02_103293,2
OR_SR_1708000302_88_100669,88
OR_CL_1710030605_104715,3
OR_SR_1706010411_02_103338,2
OR_SR_1707030401_05_101759,5
OR_WS_170702020202_05_102093,5
OR_WS_170900090502_02_104481,2
OR_WS_170900030101_02_104243,2
OR_WS_170703010206_05_102280,5
OR_LK_1705011006_05_100541,5
OR_SR_1710031008_02_104645,2
OR_WS_170702010502_05_102039,5
OR_SR_1709001004_02_104136,2
OR_WS_171002050702_02_106172,2
OR_SR_1708000602_05_103678,5
OR_SR_1709000704_88_104020,88
OR_CL_1710020102_106279,3
OR_WS_171003080110_02_105768,2
OR_SR_1708000102_02_103602,2
OR_WS_170900030108_02_104250,2
OR_CL_1710020410_106244,3
OR_WS_180200010202_05_102684,5
OR_SR_1801020206_05_106977,5
OR_WS_170601060206_02_103525,2
OR_SR_1710020309_05_105941,5
OR_SR_1710030404_02_104957,2
OR_SR_1710030701_02_105462,2
OR_EB_1710031205_01_100302,2
OR_SR_1710030801_02_105823,2
OR_SR_1710020507_02_106060,2
OR_WS_171002040707_02_106179,2
OR_SR_1710020404_02_105967,2
OR_WS_170703011003_05_102324,5
OR_SR_1710020401_02_105951,2
OR_CL_1710020508_106269,3
OR_WS_170900050208_02_104350,2
OR_SR_1709001103_02_104150,2
OR_SR_1709000302_02_103808,2
OR_SR_1709000401_02_103857,2
OR_WS_170501161305_05_103032,5
OR_SR_1707010403_02_101495,2
OR_SR_1706010401_02_103310,2
OR_SR_1709000503_02_103907,2
OR_SR_1707020302_05_102577,5
OR_WS_170703040601_05_102435,5
OR_SR_1709000306_02_103844,2
OR_SR_1709000401_02_103856,2
OR_WS_170800010701_02_103651,2
OR_SR_1710020506_02_106052,2
OR_WS_170701030206_02_101890,2
OR_WS_171003060105_02_106330,2
OR_SR_1709000202_02_103756,2
OR_WS_171003060106_02_105009,2
OR_CL_1710020102_106278,3
OR_SR_1709000107_02_103728,2
OR_WS_171002050402_02_106158,2
OR_SR_1710020502_02_106029,2
OR_WS_170900090304_02_104471,2
OR_SR_1707020208_05_101608,5
OR_SR_1709000403_02_104590,2
OR_CL_1710020410_106249,2
OR_SR_1706010402_02_103313,2
OR_WS_170703040403_05_102432,5
OR_SR_1709000703_88_104015,88
OR_SR_1708000107_02_103617,2
OR_SR_1710020404_02_105974,2
OR_SR_1710020701_02_106373,2
OR_WS_171003100502_02_106318,2
OR_WS_171200070305_05_106773,5
OR_CL_1710031206_104712,3
OR_SR_1709001106_02_104167,2
OR_SR_1709001002_02_104600,2
OR_EB_1710030604_01_100303,2
OR_SR_1710020407_02_105985,2
OR_CL_1710031206_104714,3
OR_SR_1707020303_05_101624,5
OR_SR_1705020106_05_102790,5
OR_SR_1709001202_88_104175,88
OR_WS_171003120303_02_104690,2
OR_WS_170703050501_05_102463,5
OR_SR_1710020503_02_106031,2
OR_SR_1710020402_02_105958,2
OR_WS_170900050404_02_104358,2
OR_SR_1707030701_05_101832,5
OR_SR_1707020208_05_102569,5
OR_WS_170701030303_02_101893,2
OR_SR_1709001001_02_104096,2
