ben_use_id,ben_use,WQstd_code,Pollu_ID,Pollutant
1,Aesthetic Quality,17,40,Chlorophyll-a
4,Fish and Aquatic Life,17,40,Chlorophyll-a
4,Fish and Aquatic Life,3,154,Dissolved Oxygen
4,Fish and Aquatic Life,10,124,pH
4,Fish and Aquatic Life,12,132,Temperature
4,Fish and Aquatic Life,13,155,Total Dissolved Gas
4,Fish and Aquatic Life,14,138,Total Dissolved Solids
4,Fish and Aquatic Life,15,4,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,123,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,6,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,5,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,9,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,22,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,27,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,28,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,29,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,41,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,45,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,46,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,48,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,49,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,50,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,66,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,78,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,79,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,81,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,89,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,90,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,91,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,99,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,102,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,104,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,105,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,110,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,121,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,126,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,140,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,25,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,101,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,111,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,130,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,150,Toxic Substanaces - Aquatic Life
4,Fish and Aquatic Life,15,77,Toxic Substanaces - Aquatic Life
