OBJECTID *,Shape *,AU_ID,AU_Name,AU_WBType,AU_UseCode,AU_LenMiles,AU_AreaAcr,HUC12,AQWMS_NUM,AQWMS_TXT,Shape_Length,Basin
2,Polyline ZM,OR_CL_1710020102_106224,Ecola State Park,566,1,5.263571,<Null>,1.71002E+11,106224,106224,27791.71195,North Coast
3,Polyline ZM,OR_CL_1710020102_106225,Cannon Beach,566,1,3.557528,<Null>,1.71002E+11,106225,106225,18783.78755,North Coast
4,Polyline ZM,OR_CL_1710020102_106226,Del Rey Beach State Recreation Site,566,1,5.292541,<Null>,1.71002E+11,106226,106226,27944.67259,North Coast
5,Polyline ZM,OR_CL_1710020102_106227,Tolovana State Park Beach,566,1,1.357033,<Null>,1.71002E+11,106227,106227,7165.149665,North Coast
6,Polyline ZM,OR_CL_1710020102_106228,Arcadia State Park Beach,566,1,1.850509,<Null>,1.71002E+11,106228,106228,9770.708601,North Coast
7,Polyline ZM,OR_CL_1710020102_106229,Cape Falcon Shoreside Marine Protected Area,566,1,3.427528,<Null>,1.71002E+11,106229,106229,18097.38611,North Coast
8,Polyline ZM,OR_CL_1710020102_106230,Devils Cauldron,566,1,2.601036,<Null>,1.71002E+11,106230,106230,13733.49644,North Coast
9,Polyline ZM,OR_CL_1710020102_106231,Manzanita Beach,566,1,1.75943,<Null>,1.71002E+11,106231,106231,9289.810286,North Coast
10,Polyline ZM,OR_CL_1710020102_106232,Nehalem Bay State Park Beach,566,1,3.911808,<Null>,1.71002E+11,106232,106232,20654.38718,North Coast
11,Polyline ZM,OR_CL_1710020102_106267,Fort Stevens State Park Beach,566,1,5.589726,<Null>,1.71002E+11,106267,106267,29513.8105,North Coast
12,Polyline ZM,OR_CL_1710020102_106268,Sunset Beach,566,1,4.491344,<Null>,1.71002E+11,106268,106268,23714.34336,North Coast
13,Polyline ZM,OR_CL_1710020102_106275,Seaside Beach,566,1,2.708537,<Null>,1.71002E+11,106275,106275,14301.10562,North Coast
14,Polyline ZM,OR_CL_1710020102_106276,Indian Beach at Ecola State Park,566,1,1.502322,<Null>,1.71002E+11,106276,106276,7932.27673,North Coast
15,Polyline ZM,OR_CL_1710020102_106277,Oswald West State Park,566,1,3.248467,<Null>,1.71002E+11,106277,106277,17151.93753,North Coast
16,Polyline ZM,OR_CL_1710020102_106278,Hug Point State Park Beach,566,1,0.489881,<Null>,1.71002E+11,106278,106278,2586.575359,North Coast
17,Polyline ZM,OR_CL_1710020102_106279,Short Sand Beach,566,1,0.79034,<Null>,1.71002E+11,106279,106279,4173.003012,North Coast
18,Polyline ZM,OR_CL_1710020310_106233,Barview County Park Beach,566,1,1.780817,<Null>,1.71002E+11,106233,106233,9402.732929,North Coast
19,Polyline ZM,OR_CL_1710020310_106234,Manhattan Beach State Park,566,1,1.590962,<Null>,1.71002E+11,106234,106234,8400.29837,North Coast
20,Polyline ZM,OR_CL_1710020310_106235,Rockaway Beach,566,1,2.481534,<Null>,1.71002E+11,106235,106235,13102.52744,North Coast
21,Polyline ZM,OR_CL_1710020310_106236,Twin Rocks Beach,566,1,0.792014,<Null>,1.71002E+11,106236,106236,4181.842065,North Coast
22,Polyline ZM,OR_CL_1710020310_106237,Bob Straub State Park Beach,566,1,3.003549,<Null>,1.71002E+11,106237,106237,15858.77199,North Coast
23,Polyline ZM,OR_CL_1710020310_106238,Oceanside Beach State Wayside,566,1,2.386405,<Null>,1.71002E+11,106238,106238,12600.24541,North Coast
24,Polyline ZM,OR_CL_1710020310_106239,Cape Lookout State Park Beach,566,1,6.103359,<Null>,1.71002E+11,106239,106239,32225.8,North Coast
25,Polyline ZM,OR_CL_1710020310_106240,Sand Lake Recreation Area,566,1,4.092158,<Null>,1.71002E+11,106240,106240,21606.63941,North Coast
26,Polyline ZM,OR_CL_1710020310_106241,Sitka Sedge State Natural Area,566,1,2.481704,<Null>,1.71002E+11,106241,106241,13103.42241,North Coast
27,Polyline ZM,OR_CL_1710020310_106242,Cape Kiwanda State Natural Area,566,1,3.118154,<Null>,1.71002E+11,106242,106242,16463.8855,North Coast
28,Polyline ZM,OR_CL_1710020310_106243,Neskowin Beach,566,1,5.163545,<Null>,1.71002E+11,106243,106243,27263.57013,North Coast
29,Polyline ZM,OR_CL_1710020310_106280,Cape Meares National Wildlife Refuge,566,1,2.594286,<Null>,1.71002E+11,106280,106280,13697.857,North Coast
30,Polyline ZM,OR_CL_1710020310_106281,Cape Meares Beach,566,1,5.852101,<Null>,1.71002E+11,106281,106281,30899.15716,North Coast
31,Polyline ZM,OR_CL_1710020310_106282,Short Beach,566,1,1.171483,<Null>,1.71002E+11,106282,106282,6185.44179,North Coast
32,Polyline ZM,OR_CL_1710020310_106283,Cape Lookout,566,1,5.085183,<Null>,1.71002E+11,106283,106283,26849.81847,North Coast
33,Polyline ZM,OR_CL_1710020310_106284,Cape Kiwanda State Park Beach,566,1,1.14455,<Null>,1.71002E+11,106284,106284,6043.236658,North Coast
