"","ASSESSMENT","RECORD_ID","Pollu_ID","STREAM_LAK","STREAM_NAM","LAKE_NAME","BEACH_NAME","LLID_STR_1","LLID_LAKE","SEGMENT_ID","HUC_4TH_NA","HUC_3RD_NA","MILES","RM1","RM2","POLLUTANT","SEASON","SEASON_ID","ASSESSME_1","ASSESSME_2","ACTION","ACTION_ID","NUMERIC_CR","AFFECTED_U","LISTING_ST","STATUS_ID","PREVIOUS_S","PREVIOUS_A","LISTING_YE","TMDL_INFO","CRITERIA","COMMENTS","SUMMARY"
"1",26264,13450,132,"Crabtree Creek","Crabtree Creek","","",1229569446754,NA,9535,"South Santiam","Willamette","17.5 to 31.2",17.5,31.2,"Temperature","September 1 - June 15",49,2010,"10/29/2010","No action",21,31,"Salmon and steelhead spawning","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum","","2004 Data: 
[DEQ] LASAR 21856 River Mile 28.3: From 9/1/1999 to 10/3/1999, 30 days with 7-day-average maximum > 13 degrees Celsius.
[DEQ] LASAR 23742 River Mile 30: From 6/12/2000 to 9/15/2000, 15 days with 7-day-average maximum > 13 degrees Celsius.
"
"2",29369,7150,101,"Fanno Creek","Fanno Creek","","",1227639453931,NA,1593,"Tualatin","Willamette","0 to 13.9",0,13.9,"Lead","Year Round",3,2012,"6/25/2013","Status modification - Added to 303(d) list",10,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Potential concern","Previous Action: Added to database","Previous Assessment Year: 1998","","Table 20 Toxic Substances","","2012 Data:
[USGS] STATION 14206950 at RM 1.1 for 90 samples from 01/13/2000 to 12/01/2010, 21 of 89 valid samples exceed the hardness dependent criteria.
[ODEQ] STATION 10469 at RM 2.1 for 15 samples from 04/15/2008 to 04/27/2011, 2 of 14 valid samples"
"3",27861,2265,40,"Malheur River","Malheur River","","",1169731440585,NA,65,"Lower Malheur","Middle Snake-Boise","0 to 67",0,67,"Chlorophyll a","Summer",1,2010,"3/11/2011","No action",21,26,"Fishing; Water contact recreation; Aesthetics; Livestock watering; Water supply","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 12/03/2010
Malheur River Basin TMDL and WQMP
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/malheurriver.htm"">Malheur River Basin TMDL and WQMP</a>","Reservoir, river, estuary, non-thermally stratified lake: 0.015 mg/l","","2004 Data: 
[DEQ] LASAR 10407 River Mile 0.1: From 6/10/1997 to 9/7/1997, average Chlorophyll a of 0.014 for 2 samples in 2 months.
[DEQ] LASAR 11480 River Mile 45.6: From 8/15/2001 to 9/30/2001, average Chlorophyll a of 0.02 for 1 samples in 1 months."
"4",26379,5652,86,"Scholfield Creek","Scholfield Creek","","",1241075437117,NA,2520,"Umpqua","Southern Oregon Coastal","0 to 5",0,5,"Fecal Coliform","Year Round",3,2010,"10/29/2010","No action",21,2,"Shellfish growing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 04/12/2007
Umpqua Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/umpqua.htm"">Umpqua Basin TMDL</a>","Fecal coliform median of 14 organisms per 100 ml; no more than 10% > 43 organisms per 100 ml","Shellfish growing","2004 Data: 
[DEQ] LASAR 15576 River Mile 2.5: From 5/19/1999 to 5/19/1999, 0 out of 1 samples (0%) > 43 organisms; median concentration of 0
[DEQ] LASAR 15577 River Mile 4.1: From 5/19/1999 to 5/19/1999, 1 out of 1 samples (100%) > 43 organisms; median"
"5",29739,25893,154,"Scoggins Creek","Scoggins Creek","","",1231261454600,NA,1838,"Tualatin","Willamette","0 to 5.1",0,5.1,"Dissolved Oxygen","October 15 - May 15",46,2012,"6/25/2013","New Cat 4A: Water quality limited, TMDL approved",14,4,"","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002","TMDL Approved: 08/07/2001
Tualatin Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/wq/tmdls/willamette.htm#t"">Tualatin Subbasin TMDL</a>","Spawning: Not less than 11.0 mg/L or 95% of saturation","New Record reflects current application of spawning time period and location. Spawning addressed in TMDL and de-listed for Record 6213 in 2002.","2012 Data:
[USGS] STATION 14203000 at RM 1.6 from 01/12/2000 to 12/20/2011, 17 of 77 (22%) samples < 11.0 mg/l and < 95% saturation.
[DEQ] STATION 10205 at RM 1.6 from 02/15/2001 to 05/02/2001, 1128 of 1169 (96%) samples < 11.0 mg/l and < 95% saturatio"
"6",28019,14556,136,"Twelvemile Creek","Twelvemile Creek","","",1199663420530,NA,12061,"Warner Lakes","Oregon Closed Basins","0 to 17.3",0,17.3,"Thallium","Year Round",3,2010,"1/29/2013","No action",21,46,"Human health","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Table 40 Human Health Criteria for Toxic Pollutants","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Three exceedences from samples collected at Lasar station 24149 between 8/21/00 and 11/6/00. Three exceedences from samples collected at Lasar station 24154 between 8/21/00 and 11/6/00.

Previous Data"
"7",29312,16247,99,"Tualatin River","Tualatin River","","",1226500453377,NA,9181,"Tualatin","Willamette","0 to 80.7",0,80.7,"Iron","Year Round",3,2012,"6/25/2013","No status change",13,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Table 20 Toxic Substances","","2012 Data:
[ODEQ] STATION 34540 at RM 0.1 for 1 samples from 10/01/2007 to 10/01/2007, 0 of 0 valid samples exceed the 1000 ug/L criteria.
[USGS] STATION 14207600 at RM 0.3 for 49 samples from 02/03/2003 to 11/30/2010, 11 of 49 valid samples exceed the"
"8",29448,24610,154,"Spencer Creek","Spencer Creek","","",1232637440089,NA,1917,"Upper Willamette","Willamette","0 to 8.7",0,8.7,"Dissolved Oxygen","Year Round (Non-spawning)",71,2012,"6/25/2013","No status change",13,7,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Cold water: Not less than 8.0 mg/l or 90% of saturation","","2012 Data:
[DEQ] STATION 11150 at RM 0.3 from 07/10/2001 to 07/10/2001, 1 of 1 (100%) samples < 8.0 mg/l and < 90% saturation.
[DEQ] STATION 25806 at RM 1.6 from 07/10/2001 to 07/11/2001, 2 of 2 (100%) samples < 8.0 mg/l and < 90% saturation.
[DEQ] ST"
"9",27892,23620,156,"Willow Creek","Willow Creek","","",1172554440234,NA,7730,"Willow","Middle Snake-Boise","0 to 56.8",0,56.8,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  LASAR 33740 River Mile 32.35 FROM 8/8/2006 To 8/8/2006 1 out of 1 (100%) samples outside WCCP regional criteria.
LASAR 33807 River Mile 34.91 FROM 8/10/2006 To 8/10/2006 1 out of 1 (100%) samples outsi"
"10",20097,17472,124,"Amazon Diversion Canal (A3 Drain)","Amazon Diversion Canal (A3 Drain)","","",1231973440631,NA,37,"Upper Willamette","Willamette","0 to 3.9",0,3.9,"pH","Summer",1,2004,"10/4/2006","No action",21,16,"Water contact recreation; Resident fish and aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","pH 6.5 to 8.5","","Previous Data:  DEQ] LASAR 25625 River Mile 0.5: From 7/10/2001 to 7/22/2003, 2 out of 5 samples (40%) outside pH criteria range 6.5 to 8.5.
[DEQ] LASAR 30650 River Mile 1: From 7/22/2003 to 7/22/2003, 0 out of 2 samples (0%) outside pH criteria range 6"
"11",28331,24596,154,"Clatskanie River","Clatskanie River","","",1232215461207,NA,9900,"Lower Columbia-Clatskanie","Lower Columbia","0 to 25.6",0,25.6,"Dissolved Oxygen","Year Round (Non-spawning)",71,2010,"1/29/2013","No action",21,7,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Cold water: Not less than 8.0 mg/l or 90% of saturation","Estuarine criteria applicable from RM 0 - 1.9. See Record 21106","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Three exceedences of the cold water aquatic life criteria  out of 6 days of sampling between 7/18/99 and 8/16/99 at LASAR station 22952, Clatskanie River downstream of STP. Two exceedences of the cold"
"12",28331,24596,154,"Clatskanie River","Clatskanie River","","",1232215461207,NA,9900,"Lower Columbia-Clatskanie","Lower Columbia","0 to 25.6",0,25.6,"Dissolved Oxygen","Year Round (Non-spawning)",71,2010,"1/29/2013","No action",21,7,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Cold water: Not less than 8.0 mg/l or 90% of saturation","Estuarine criteria applicable from RM 0 - 1.9. See Record 21106","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Three exceedences of the cold water aquatic life criteria  out of 6 days of sampling between 7/18/99 and 8/16/99 at LASAR station 22952, Clatskanie River downstream of STP. Two exceedences of the cold"
"13",26373,5664,124,"Calapooya Creek","Calapooya Creek","","",1234686433656,NA,2045,"Umpqua","Southern Oregon Coastal","0 to 18.7",0,18.7,"pH","Summer",1,2010,"10/29/2010","No action",21,16,"Water contact recreation; Salmonid fish spawning; Resident fish and aquatic life; Anadromous fish passage; Salmonid fish rearing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 04/12/2007
Umpqua Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/umpqua.htm"">Umpqua Basin TMDL</a>","pH 6.5 to 8.5","","2004 Data: 
[DEQ/ODA - Salem] LASAR 12805 River Mile 9.9: From 7/15/1998 to 7/15/1998, 0 out of 1 samples (0%) outside pH criteria range 6.5 to 8.5.
[DEQ/ODA - Salem] LASAR 12808 River Mile 6.9: From 7/15/1998 to 7/15/1998, 0 out of 1 samples (0%) outs"
"14",26060,13002,132,"Hamilton Creek","Hamilton Creek","","",1228544445157,NA,9441,"South Santiam","Willamette","0 to 16.1",0,16.1,"Temperature","Year Round (Non-spawning)",71,2010,"10/29/2010","No action",21,33,"Core cold water habitat","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum","","2004 Data: 
[DEQ] LASAR 11419 River Mile 1.3: From 6/10/2000 to 9/16/2000, 96 days with 7-day-average maximum > 16 degrees Celsius.
[DEQ] LASAR 23772 River Mile 10.9: From 6/16/2000 to 9/16/2000, 79 days with 7-day-average maximum > 16 degrees Celsius."
"15",29452,14421,45,"Umatilla River","Umatilla River","","",1193384459144,NA,8178,"Umatilla","Middle Columbia","0 to 56",0,56,"Copper","Year Round",3,2012,"6/25/2013","Status modification - Added to 303(d) list",10,24,"Aquatic life; Human health","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3: Insufficient data","Previous Action: Added to database","Previous Assessment Year: 2004","","Table 20 Toxic Substances","","2012 Data:
[ODEQ] STATION 11489 at RM 8.6 for 11 samples from 09/01/2009 to 11/28/2011, 1 of 11 valid samples exceed the hardness dependent criteria.
[ODEQ] STATION 32794 at RM 24.2 for 1 samples from 11/30/2005 to 11/30/2005, 0 of 1 valid samples exce"
"16",29401,24587,154,"Cozine Creek","Cozine Creek","","",1231877452053,NA,31593,"Yamhill","Willamette","0 to 5",0,5,"Dissolved Oxygen","Year Round (Non-spawning)",71,2012,"6/25/2013","No status change",13,8,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Cool water: Not less than 6.5 mg/l","","2012 Data:
[DEQ] STATION 30677 at RM 0.1 from 07/05/2008 to 07/05/2008, 0 of 1 (0%) samples < 6.5 mg/L.
[DEQ] STATION 34234 at RM 0.4 from 05/19/2007 to 10/12/2010, 7 of 15 (47%) samples < 6.5 mg/L.
[DEQ] STATION 35065 at RM 2.5 from 07/05/2008 to 07/"
"17",29385,24578,154,"Gales Creek","Gales Creek","","",1231025454915,NA,31588,"Tualatin","Willamette","0 to 23",0,23,"Dissolved Oxygen","October 15 - May 15",46,2012,"6/25/2013","No status change",13,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2012 Data:
[USGS] STATION 453026123063401 at RM 1.7 from 01/06/2009 to 12/20/2011, 18 of 48 (38%) samples < 11.0 mg/l and < 95% saturation.
[USGS] STATION 14204530 at RM 2.4 from 01/12/2000 to 12/09/2008, 31 of 152 (20%) samples < 11.0 mg/l and < 95% s"
"18",25613,23034,83,"Pacific Ocean","Pacific Ocean","","D River Beach",1240637462558,NA,30932,"Siletz-Yaquina","Northern Oregon Coastal","106.9 to 107.7",106.9,107.7,"Enterococcus","Summer",1,2010,"10/1/2010","No action",21,45,"Water contact recreation","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2010","","Geometric mean of 35 Enterococci per 100 ml","11 Beach Advisories issued when single sample exceeded 158 organisms.","2010 Data: 
LASAR 29260 River Mile 107.07 FROM 8/27/2002 To 8/27/2002 0 out of 0 geometric means > 35 organisms; maximum single sample of 20 organisms.
LASAR 29346 River Mile 107.08 FROM 5/29/2003 To 5/5/2009 2 out of 5 geometric means > 35 organisms;"
"19",22720,8340,86,"Alsea River","Alsea River","","",1240782444222,NA,2762,"Alsea","Northern Oregon Coastal","0 to 4.9",0,4.9,"Fecal Coliform","Year Round",3,2004,"1/30/2006","No action",21,2,"Shellfish growing","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: No status change","Previous Assessment Year: 2004","","Fecal coliform median of 14 organisms per 100 ml; no more than 10% > 43 organisms per 100 ml","","Previous Data:  [ODA] LASAR 13353 River Mile 2.5: From 2/13/1997 to 8/20/2002, 14 out of 95 samples (15%) > 43 organisms; median concentration of 13
[ODA] LASAR 13689 River Mile 1.8: From 5/27/1998 to 8/20/2002, 6 out of 60 samples (10%) > 43 organisms;"
