Country,State_cd,county_cd,county_nm
US,41,001,Baker County
US,41,003,Benton County
US,41,005,Clackamas County
US,41,007,Clatsop County
US,41,009,Columbia County
US,41,011,Coos County
US,41,013,Crook County
US,41,015,Curry County
US,41,017,Deschutes County
US,41,019,Douglas County
US,41,021,Gilliam County
US,41,023,Grant County
US,41,025,Harney County
US,41,027,Hood River County
US,41,029,Jackson County
US,41,031,Jefferson County
US,41,033,Josephine County
US,41,035,Klamath County
US,41,037,Lake County
US,41,039,Lane County
US,41,041,Lincoln County
US,41,043,Linn County
US,41,045,Malheur County
US,41,047,Marion County
US,41,049,Morrow County
US,41,051,Multnomah County
US,41,053,Polk County
US,41,055,Sherman County
US,41,057,Tillamook County
US,41,059,Umatilla County
US,41,031,Union County
US,41,063,Wallowa County
US,41,065,Wasco County
US,41,067,Washington County
US,41,069,Wheeler County
US,41,071,Yamhill County
