ben_use_code,Designated_uses,applicable_strds
01,Aesthetic Quality; Boating; Commercial Navigation and Transportation; Fish and Aquatic Life; Fishing; Industrial Water Supply; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1))
02,Aesthetic Quality; Boating; Fish and Aquatic Life; Fishing; Hydro Power; Industrial Water Supply; Irrigation; Livestock Watering; Private Domestic Water Supply; Public Domestic Water Supply; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; Narrative Criteria for Turbidity (OAR: 340-041-0036); pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1)); WDMC Site-Specific Criteria (OAR: 340-041-0315)
03,Aesthetic Quality; Boating; Commercial Navigation and Transportation; Fish and Aquatic Life; Fishing; Industrial Water Supply; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1))
04,Aesthetic Quality; Boating; Commercial Navigation and Transportation; Fish and Aquatic Life; Fishing; Industrial Water Supply; Irrigation; Livestock Watering; Private Domestic Water Supply; Public Domestic Water Supply; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; Narrative Criteria for Turbidity (OAR: 340-041-0036); pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1)); WDMC Site-Specific Criteria (OAR: 340-041-0315)
05,Aesthetic Quality; Boating; Fish and Aquatic Life; Fishing; Industrial Water Supply; Irrigation; Livestock Watering; Private Domestic Water Supply; Public Domestic Water Supply; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; Narrative Criteria for Turbidity (OAR: 340-041-0036); pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1)); WDMC Site-Specific Criteria (OAR: 340-041-0315)
06,Aesthetic Quality; Boating; Fish and Aquatic Life; Fishing; Industrial Water Supply; Irrigation; Livestock Watering; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1)); WDMC Site-Specific Criteria (OAR: 340-041-0315)
07,Aesthetic Quality; Boating; Fish and Aquatic Life; Fishing; Industrial Water Supply; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1))
08,Aesthetic Quality; Boating; Fish and Aquatic Life; Fishing; Livestock Watering; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1)); WDMC Site-Specific Criteria (OAR: 340-041-0315)
09,Aesthetic Quality; Boating; Fish and Aquatic Life; Fishing; Irrigation; Livestock Watering; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1)); WDMC Site-Specific Criteria (OAR: 340-041-0315)
10,Aesthetic Quality; Fish and Aquatic Life; Fishing; Livestock Watering; Private Domestic Water Supply; Public Domestic Water Supply; Water Contact Recreation; Wildlife and Hunting,Bacteria (OAR: 340-041-0009); Chlorophyll-a; Dissolved Oxygen; Narrative Criteria for Bacteria (OAR: 340-041-0009); Narrative Criteria for Biocriteria (OAR: 340-041-0011); Narrative Criteria for Temperature (OAR: 340-041-0028); Narrative Criteria for Toxic Substances (OAR: 340-041-0033; Table 31); Narrative criteria for Turbidity; Narrative Criteria for Turbidity (OAR: 340-041-0036); pH (OAR: 340-041-0021; 340-041-0101 to 340-041-0350); Statewide Narrative Criteria (OAR: 340-041-0007); Temperature - Numeric (OAR: 340-041-0028); Total Dissolved Gas (OAR: 340-041-0031); Toxic Substances - Aquatic Life (OAR: 340-41-8033; Table 30); Toxic Substances - Human Health (OAR: 340-41-8033; Table 40); Toxic Substances Narrative (OAR: 340-041-0033(1)); WDMC Site-Specific Criteria (OAR: 340-041-0315)
