"MLocID","StationDes","Lat_DD","Long_DD","AU_ID","MonLocType","Period","OWRD_Basin","data_period_start","data_period_end","IR_category","total_violations","max_violations_3yr","max_3yr_results_in_crit_period","total_spawn_violations","max_spawn_violations_3yr"
"BAT12","Battle Creek at Lone Oak Rd.  ",44.8611,-123.0488,"OR_WS_170900070203_02_104411","River/Stream","Year round","Willamette",2008-10-28,2017-12-15,"Cat5",550,224,277,NA,NA
"BAT3","Battle Creek at Commercial Ave.",44.8603,-123.0169,"OR_WS_170900070203_02_104411","River/Stream","Year round","Willamette",2008-10-27,2016-02-29,"Cat5",698,274,270,NA,NA
"CLK1","Clark Creek at Bush Park",44.9268,-123.0337,"OR_WS_170900070301_02_104413","River/Stream","Year round","Willamette",2008-01-11,2016-09-05,"Cat5",696,275,277,NA,NA
"CLK12","Clark Creek at Ewald Ave.",44.9012,-123.0515,"OR_WS_170900070301_02_104413","River/Stream","Year round","Willamette",2008-01-11,2016-09-01,"Cat5",254,146,277,NA,NA
"GLE12","Glenn Creek at Hidden Valley Rd.",44.9475,-123.102,"OR_WS_170900070303_02_104415","River/Stream","Year round","Willamette",2008-01-07,2016-02-29,"Cat5",74,59,195,NA,NA
"GLE3","Glenn Creek at Wallace Rd.",44.9653,-123.0579,"OR_WS_170900070303_02_104415","River/Stream","Year round","Willamette",2008-01-07,2016-07-04,"Cat5",448,224,274,NA,NA
"PRI12","East Fork of Pringle Creek at Trelstad Ave.  ",44.8853,-122.9871,"OR_WS_170900070204_02_104412","River/Stream","Year round","Willamette",2008-01-11,2016-02-29,"Cat5",896,325,253,NA,NA
"PRI3","Pringle Creek at Pringle Park",44.9341,-123.0378,"OR_WS_170900070301_02_104413","River/Stream","Year round","Willamette",2008-01-11,2017-09-19,"Cat5",948,354,268,NA,NA
"PRI3","Pringle Creek at Pringle Park",44.9341,-123.0378,"OR_WS_170900070301_02_104413","River/Stream","Spawn","Willamette",2008-01-11,2017-04-08,"Cat5",NA,NA,NA,390,183
"10688-ORDEQ","Deschutes River at Pringle Falls",43.74117494,-121.6067814,"OR_WS_170703010301_05_102282","River/Stream","Year round","Deschutes",2014-05-18,2014-09-08,"Cat2",0,0,70,NA,NA
"10689-ORDEQ","Deschutes River at Wickiup Reservoir Gauge Station",43.68612582,-121.68725,"OR_WS_170703010301_05_102282","River/Stream","Year round","Deschutes",2017-08-21,2017-12-31,"Cat2",0,0,41,NA,NA
"10699-ORDEQ","Little Deschutes River at Road 2320",43.52475709,-121.6515739,"OR_WS_170703020106_05_102338","River/Stream","Year round","Deschutes",2016-07-31,2016-10-23,"Cat5",33,33,62,NA,NA
"10703-ORDEQ","Little Deschutes River upstream of Gilchrist Mill Pond",43.4634918,-121.6979735,"OR_WS_170703020106_05_102338","River/Stream","Year round","Deschutes",2016-07-31,2016-10-23,"Cat5",33,33,62,NA,NA
"12032-ORDEQ","Mitchell Creek at SE 162nd (downstream of trailer park)",45.46017207,-122.4967473,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2013-06-23,2014-11-10,"Cat5",7,7,184,NA,NA
"13141-ORDEQ","Neal Creek at mouth (upstream of bridge)",45.66386253,-121.525546,"OR_WS_170701050703_02_102007","River/Stream","Year round","Hood",2009-06-11,2011-11-08,"Cat5",9,9,276,NA,NA
"13141-ORDEQ","Neal Creek at mouth (upstream of bridge)",45.66386253,-121.525546,"OR_WS_170701050703_02_102007","River/Stream","Spawn","Hood",2010-04-12,2011-11-08,"Cat2",NA,NA,NA,0,0
"13183-ORDEQ","East Fork Neal Creek at mouth",45.59457833,-121.4990237,"OR_WS_170701050701_02_102005","River/Stream","Year round","Hood",2009-06-11,2011-11-08,"Cat2",0,0,276,NA,NA
"13183-ORDEQ","East Fork Neal Creek at mouth",45.59457833,-121.4990237,"OR_WS_170701050701_02_102005","River/Stream","Spawn","Hood",2010-04-12,2011-11-08,"Cat2",NA,NA,NA,0,0
"13184-ORDEQ","West Fork Neal Creek at mouth",45.5945686,-121.4996554,"OR_WS_170701050701_02_102005","River/Stream","Year round","Hood",2009-06-11,2011-11-08,"Cat5",7,7,276,NA,NA
"13184-ORDEQ","West Fork Neal Creek at mouth",45.5945686,-121.4996554,"OR_WS_170701050701_02_102005","River/Stream","Spawn","Hood",2010-04-12,2011-11-08,"Cat2",NA,NA,NA,0,0
