AU_ID,Period,num_cats
OR_WS_170501160101_05_102969,Year round,2
OR_WS_170501160102_05_102970,Year round,1
OR_WS_170501160103_05_102971,Year round,1
OR_WS_170501160104_05_102972,Year round,1
OR_WS_170501160105_05_102973,Year round,1
OR_WS_170501160201_05_102976,Year round,1
OR_WS_170501160202_05_102977,Year round,1
OR_WS_170501160203_05_102978,Year round,1
OR_WS_170501160301_05_102981,Year round,1
OR_WS_170501160502_05_102989,Year round,1
OR_WS_170501161101_05_103019,Year round,1
OR_WS_170501161102_05_103020,Year round,1
OR_WS_170501161103_05_103021,Year round,1
OR_WS_170501161104_05_103022,Year round,1
OR_WS_170501161201_05_103024,Year round,1
OR_WS_170501190101_05_103080,Year round,1
OR_WS_170502010603_05_103104,Year round,1
OR_WS_170502010605_05_103106,Year round,1
OR_WS_170502010608_05_103109,Year round,1
OR_WS_170502020101_05_103112,Year round,1
OR_WS_170502020102_05_103113,Year round,2
OR_WS_170502020103_05_103114,Year round,1
OR_WS_170502020104_05_103115,Year round,1
OR_WS_170502020106_05_103117,Year round,1
OR_WS_170502020107_05_103118,Year round,1
OR_WS_170502020201_05_103120,Year round,1
OR_WS_170502020202_05_103121,Year round,1
OR_WS_170502020301_05_103123,Year round,1
OR_WS_170502020302_05_103124,Year round,1
OR_WS_170502030101_05_103151,Year round,2
OR_WS_170502030105_05_103155,Year round,2
OR_WS_170502030106_05_103156,Year round,2
OR_WS_170502030201_05_103157,Year round,1
OR_WS_170502030204_05_103160,Year round,1
OR_WS_170502030501_05_103176,Year round,2
OR_WS_170502030502_05_103177,Year round,1
OR_WS_170502030503_05_103178,Year round,2
OR_WS_170502030504_05_103179,Year round,2
OR_WS_170502030601_05_103181,Year round,1
OR_WS_170502030602_05_103182,Year round,1
OR_WS_170502031001_05_103204,Year round,1
OR_WS_170502031002_05_103205,Year round,1
OR_WS_170502031004_05_103207,Year round,1
OR_WS_170502031007_05_103210,Year round,1
OR_WS_170601020104_02_103388,Year round,1
OR_WS_170601020202_02_103392,Spawn,1
OR_WS_170601020202_02_103392,Year round,1
OR_WS_170601020301_02_103397,Year round,1
OR_WS_170601020302_02_103398,Year round,1
