,Result_UID,num,num_distinct_results,group,act_id,OrganizationID,MLocID,StationDes,MonLocType,HUC12_Name,ELEV_Ft,AU_ID,FishCode,SpawnCode,WaterTypeCode,WaterBodyCode,BacteriaCode,DO_code,ben_use_code,pH_code,DO_SpawnCode,OWRD_Basin,EcoRegion2,EcoRegion3,wqstd_code,Pollu_ID,Calc_Crit,Combine_Result_Cmnts,Combine_Result,Activity_Type,SampleMedia,SampleSubmedia,SampleStartDate,SampleStartTime,chr_uid,Char_Name,Char_Speciation,Sample_Fraction,CASNumber,Result_status,Result_Numeric,IRResultNWQSunit,ActDepthUnit,Result_Depth,act_depth_height,Result_Depth_Unit,Act_Depth_Top,Act_Depth_Top_Unit,Act_Depth_Bottom,Act_Depth_Bottom_Unit,Time_Basis,Statistical_Base,Statistic_N_Value,act_sam_compnt_name,lab_Comments,General_Comments,Analytical_method,QualifierAbbr,QualifierTxt,IDLType,IDLValue,IDLUnit,MDLType,MDLValue,MDLUnit,MRLType,MRLUnit,MRLValue,URLType,URLValue,URLUnit,TribalLand,Result_Operator,Result_Unit,IRWQSUnitName,Result_Type,Result,is_highest_QL,num_QL_levels,drop_DQL,group,code,rational,num_depths
1,30509723,2,2,2,10-A5733,1119USBR_WQX,CRO142,Camp Creek at Highway 380,River/Stream,Cottonwood Creek-Camp Creek,3553,OR_SR_1707030401_05_101759,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,10/27/2010,51:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.6,NA,1,No,2,,,1
2,30509716,2,2,2,10-A5732,1119USBR_WQX,CRO142,Camp Creek at Highway 380,River/Stream,Cottonwood Creek-Camp Creek,3553,OR_SR_1707030401_05_101759,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,10/27/2010,50:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.5,NA,1,No,2,,,1
3,30510046,2,2,3,10-A2819,1119USBR_WQX,CRO144,Pine Creek at Shotgun Road,River/Stream,Pine Creek-Crooked River,3399,OR_WS_170703040603_05_102437,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,7/7/2010,28:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.1,NA,1,No,3,,,1
4,30510052,2,2,3,10-A2825,1119USBR_WQX,CRO144,Pine Creek at Shotgun Road,River/Stream,Pine Creek-Crooked River,3399,OR_WS_170703040603_05_102437,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,7/7/2010,29:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.4,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.4,NA,1,No,3,,,1
5,30510189,2,2,5,13-A1444,1119USBR_WQX,CRO144,Pine Creek at Shotgun Road,River/Stream,Pine Creek-Crooked River,3399,OR_WS_170703040603_05_102437,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,5/13/2013,20:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.1,NA,1,No,5,,,1
6,30510183,2,2,5,13-A1438,1119USBR_WQX,CRO144,Pine Creek at Shotgun Road,River/Stream,Pine Creek-Crooked River,3399,OR_WS_170703040603_05_102437,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,5/13/2013,20:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9,NA,1,No,5,,,1
7,30510528,2,2,7,10-A4017,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/10/2010,11:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,7.5,NA,1,No,7,,,1
8,30510521,2,2,7,10-A4016,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/10/2010,10:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,7.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,7.4,NA,1,No,7,,,1
9,30510549,2,2,8,10-A5405,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,10/5/2010,51:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9,NA,1,No,8,,,1
10,30510542,2,2,8,10-A5404,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,10/5/2010,50:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.1,NA,1,No,8,,,1
