"","Result_UID","Char_Name","code","rational"
"1",42649086,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"2",42649085,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"3",42649084,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"4",42649082,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"5",42649083,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"6",42649120,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"7",42649121,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"8",42649118,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"9",42649117,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"10",42649119,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"11",42649212,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"12",42649211,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"13",42649210,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"14",42649208,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"15",42649209,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"16",42649246,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"17",42649247,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"18",42649244,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"19",42649243,"Dissolved oxygen (DO)","46","Suspected Duplicate"
"20",42649245,"Dissolved oxygen (DO)","46","Suspected Duplicate"
