OrganizationID,MLocID,AU_ID
1119USBR_WQX,OWY101,OR_SR_1705011007_05_102744
1119USBR_WQX,POW101,OR_SR_1705020302_05_102815
CCUI_WQX,CAN_11,OR_SR_1710030205_02_106333
CCUI_WQX,CAN_12,OR_SR_1710030205_02_106333
CCUI_WQX,CAN_15,OR_SR_1710030205_02_106333
CCUI_WQX,CAN_3,OR_WS_171003020508_02_106369
CCUI_WQX,CAN_4,OR_WS_171003020508_02_106369
CCUI_WQX,CAN_7,OR_SR_1710030205_02_106333
CCUI_WQX,CAN_8,OR_WS_171003020508_02_106369
CCUI_WQX,COW_32,OR_SR_1710030205_02_106333
CITY_EUGENE(NOSTORETID),FAMBACR,OR_WS_170900030106_02_104248
CITY_EUGENE(NOSTORETID),FAMBACUS,OR_WS_170900030106_02_104248
CITY_EUGENE(NOSTORETID),FAMBM2,OR_WS_170900030106_02_104248
CITY_EUGENE(NOSTORETID),FAMBWC,OR_WS_170900030106_02_104248
CITY_OREGONCITY(NOSTORETID),OC 10,OR_SR_1709000704_02_104017
CITY_OREGONCITY(NOSTORETID),OC 11,OR_SR_1709000704_02_104017
CITY_SALEM(NOSTORETID),21838-ORDEQ,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),28964-ORDEQ,OR_WS_170900070301_02_104413
CITY_SALEM(NOSTORETID),CGT1,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),CGT5,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),CLK1,OR_WS_170900070301_02_104413
CITY_SALEM(NOSTORETID),CLK12,OR_WS_170900070301_02_104413
CITY_SALEM(NOSTORETID),CRO1,OR_WS_170900070301_02_104413
CITY_SALEM(NOSTORETID),CRO10,OR_WS_170900070301_02_104413
CITY_SALEM(NOSTORETID),GIB1,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),GIB15,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),GLE1,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),GLE12,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),GLE3,OR_WS_170900070303_02_104415
CITY_SALEM(NOSTORETID),PRI3,OR_WS_170900070301_02_104413
CITY_SALEM(NOSTORETID),PRI5,OR_WS_170900070301_02_104413
CITY_WESTLINN(NOSTORETID),COWL_01_Trillium,OR_WS_170900120104_02_104553
CRBC_WQX,39075-ORDEQ,OR_WS_170900110607_02_104549
CRBC_WQX,39078-ORDEQ,OR_WS_170900110607_02_104549
CRK_WQX,35578-ORDEQ,OR_SR_1708000107_02_103616
CRK_WQX,39358-ORDEQ,OR_SR_1708000107_02_103616
CRK_WQX,39369-ORDEQ,OR_SR_1708000107_02_103616
KLAMATHTRIBES_WQX,SR0040,OR_SR_1801020205_05_106976
KLAMATHTRIBES_WQX,SR0060,OR_SR_1801020207_05_106978
KLAMATHTRIBES_WQX,SR0080,OR_SR_1801020207_05_106978
KLAMATHTRIBES_WQX,SR0090,OR_SR_1801020207_05_106978
KLAMATHTRIBES_WQX,SR0140,OR_SR_1801020205_05_106976
KLAMATHTRIBES_WQX,WR1000,OR_SR_1801020207_05_106978
LSWCD_WQX,10391-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,10909-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,29287-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,34453-ORDEQ,OR_EB_1710020403_01_107231
LSWCD_WQX,34456-ORDEQ,OR_EB_1710020403_01_107231
LSWCD_WQX,34457-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,34762-ORDEQ,OR_EB_1710020403_01_107231
LSWCD_WQX,34763-ORDEQ,OR_EB_1710020403_01_107231
LSWCD_WQX,36367-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,37848-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,38300-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,38918-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,38928-ORDEQ,OR_SR_1710020407_02_106452
LSWCD_WQX,38944-ORDEQ,OR_SR_1710020407_02_106452
MFWWC(NOSTORETID),26746-ORDEQ,OR_SR_1709000201_02_103752
MFWWC(NOSTORETID),37295-ORDEQ,OR_SR_1709000204_02_103786
MFWWC(NOSTORETID),37296-ORDEQ,OR_SR_1709000204_02_103786
MFWWC(NOSTORETID),37300-ORDEQ,OR_WS_170900020401_02_104238
MFWWC(NOSTORETID),37301-ORDEQ,OR_WS_170900020401_02_104238
MFWWC(NOSTORETID),37311-ORDEQ,OR_SR_1709000201_02_103752
OREGONDEQ,10360-ORDEQ,OR_SR_1709000704_02_104597
OREGONDEQ,10391-ORDEQ,OR_SR_1710020407_02_106452
OREGONDEQ,10469-ORDEQ,OR_WS_170900100502_02_104513
OREGONDEQ,10637-ORDEQ,OR_SR_1709000906_02_104093
OREGONDEQ,10638-ORDEQ,OR_SR_1709000906_02_104093
OREGONDEQ,10659-ORDEQ,OR_SR_1709000305_02_103829
OREGONDEQ,10674-ORDEQ,OR_SR_1708000107_02_103616
OREGONDEQ,10725-ORDEQ,OR_SR_1705020302_05_102815
OREGONDEQ,10729-ORDEQ,OR_SR_1705011007_05_102744
OREGONDEQ,10959-ORDEQ,OR_SR_1709000805_02_104049
OREGONDEQ,11233-ORDEQ,OR_SR_1709000704_02_104597
OREGONDEQ,11241-ORDEQ,OR_EB_1710020408_01_107217
OREGONDEQ,11321-ORDEQ,OR_SR_1709001201_02_104170
OREGONDEQ,11484-ORDEQ,OR_SR_1710030205_02_106333
OREGONDEQ,11626-ORDEQ,OR_SR_1709001201_02_104170
OREGONDEQ,12568-ORDEQ,OR_SR_1710030205_02_106333
OREGONDEQ,13070-ORDEQ,OR_SR_1709000704_02_104597
OREGONDEQ,13568-ORDEQ,OR_EB_1710030403_01_107198
OREGONDEQ,13569-ORDEQ,OR_EB_1710030403_01_107198
OREGONDEQ,13570-ORDEQ,OR_EB_1710030403_01_107198
OREGONDEQ,13574-ORDEQ,OR_EB_1710030403_01_107198
OREGONDEQ,15785-ORDEQ,OR_SR_1709000204_02_103786
OREGONDEQ,21535-ORDEQ,OR_SR_1801020207_05_106978
OREGONDEQ,24303-ORDEQ,OR_SR_1707030107_05_101714
OREGONDEQ,26601-ORDEQ,OR_SR_1705020302_05_102815
OREGONDEQ,29045-ORDEQ,OR_SR_1709000704_02_104597
OREGONDEQ,29287-ORDEQ,OR_SR_1710020407_02_106452
OREGONDEQ,29439-ORDEQ,OR_EB_1710030404_01_100286
OREGONDEQ,29440-ORDEQ,OR_EB_1710030404_01_100286
OREGONDEQ,32058-ORDEQ,OR_SR_1709000906_02_104093
OREGONDEQ,32066-ORDEQ,OR_WS_170900110607_02_104549
OREGONDEQ,32067-ORDEQ,OR_WS_170900110607_02_104549
OREGONDEQ,32074-ORDEQ,OR_WS_170900110607_02_104549
OREGONDEQ,34245-ORDEQ,OR_SR_1709000906_02_104093
OREGONDEQ,34456-ORDEQ,OR_EB_1710020403_01_107231
OREGONDEQ,34762-ORDEQ,OR_EB_1710020403_01_107231
OREGONDEQ,34763-ORDEQ,OR_EB_1710020403_01_107231
OREGONDEQ,34827-ORDEQ,OR_EB_1710030404_01_100286
OREGONDEQ,35060-ORDEQ,OR_SR_1709000805_02_104049
OREGONDEQ,35063-ORDEQ,OR_SR_1709000805_02_104049
OREGONDEQ,35064-ORDEQ,OR_SR_1709000805_02_104049
OREGONDEQ,35447-ORDEQ,OR_EB_1710030404_01_100286
OREGONDEQ,35486-ORDEQ,OR_EB_1710020408_01_107217
OREGONDEQ,36193-ORDEQ,OR_SR_1705020310_05_102830
OREGONDEQ,36299-ORDEQ,OR_SR_1710020407_02_106452
OREGONDEQ,36367-ORDEQ,OR_SR_1710020407_02_106452
OREGONDEQ,36383-ORDEQ,OR_SR_1705020106_05_102790
OREGONDEQ,36875-ORDEQ,OR_SR_1709000305_02_103829
OREGONDEQ,37192-ORDEQ,OR_WS_170601050104_02_103486
OREGONDEQ,37199-ORDEQ,OR_WS_170601050104_02_103486
OREGONDEQ,37623-ORDEQ,OR_WS_171002030901_05_106190
OREGONDEQ,37625-ORDEQ,OR_WS_171002030901_05_106190
OREGONDEQ,38171-ORDEQ,OR_EB_1710030404_01_100286
OREGONDEQ,38918-ORDEQ,OR_SR_1710020407_02_106452
OREGONDEQ,38919-ORDEQ,OR_SR_1710020407_02_106452
OREGONDEQ,38928-ORDEQ,OR_SR_1710020407_02_106452
OREGONDEQ,38932-ORDEQ,OR_WS_171002030901_05_106190
OREGONDEQ,38933-ORDEQ,OR_WS_171002030901_05_106190
PBWC_WQX,13062-ORDEQ,OR_SR_1705020302_05_102815
PBWC_WQX,37329-ORDEQ,OR_WS_170502030602_05_103182
PBWC_WQX,37330-ORDEQ,OR_WS_170502030602_05_103182
PBWC_WQX,37336-ORDEQ,OR_SR_1705020310_05_102830
PBWC_WQX,37337-ORDEQ,OR_SR_1705020106_05_102790
PBWC_WQX,37426-ORDEQ,OR_WS_170502030602_05_103182
PBWC_WQX,37427-ORDEQ,OR_WS_170502030602_05_103182
PBWC_WQX,37733-ORDEQ,OR_SR_1705020106_05_102790
PBWC_WQX,37734-ORDEQ,OR_SR_1705020106_05_102790
PBWC_WQX,37737-ORDEQ,OR_SR_1705020310_05_102830
PBWC_WQX,37738-ORDEQ,OR_SR_1705020310_05_102830
