"OrganizationID","MLocID","AU_ID","OWRD_Basin","SampleStartDate","SampleStartTime","Statistical_Base","Result_UID","IRResultNWQSunit","DO_sat"
"1119USBR_WQX","CRO160","OR_SR_1707030510_02_101806","Deschutes","2014-05-14","10:29:00.0000000",NA,30513652,12.8,100
"1119USBR_WQX","CRO160","OR_SR_1707030510_02_101806","Deschutes","2014-05-14","10:29:00.0000000",NA,30513652,12.8,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2009-08-28",NA,NA,34283722,12.7,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2009-08-28",NA,NA,34283722,12.7,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2009-09-25",NA,NA,34283747,11.7,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2009-09-25",NA,NA,34283747,11.7,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2009-11-19",NA,NA,34283782,12.1,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2009-11-19",NA,NA,34283782,12.1,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-11-30",NA,NA,34283977,12,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-11-30",NA,NA,34283977,12,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-12-08",NA,NA,34283987,11.6,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-12-08",NA,NA,34283987,11.6,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-12-16",NA,NA,34283997,11.7,94.4
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-12-16",NA,NA,34283997,11.7,94.4
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-08-26",NA,NA,34284132,12.5,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-08-26",NA,NA,34284132,12.5,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-09-02",NA,NA,34284147,11.2,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-09-02",NA,NA,34284147,11.2,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-09-30",NA,NA,34284157,11.5,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-09-30",NA,NA,34284157,11.5,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-11-04",NA,NA,34284182,11.1,98.7
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-11-04",NA,NA,34284182,11.1,98.7
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-11-28",NA,NA,34284192,12,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-11-28",NA,NA,34284192,12,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-12-29",NA,NA,34284212,11.5,94.7
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-12-29",NA,NA,34284212,11.5,94.7
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-09-27",NA,NA,34283942,9.4,94.5
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-09-27",NA,NA,34283942,9.4,94.5
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-11-11",NA,NA,34283962,9,85
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-11-11",NA,NA,34283962,9,85
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-11-06",NA,NA,34305710,11.7,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-11-06",NA,NA,34305710,11.7,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-11-19",NA,NA,34305725,11.9,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-11-19",NA,NA,34305725,11.9,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-10-21",NA,NA,34306532,10.7,95
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-10-21",NA,NA,34306532,10.7,95
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-11-11",NA,NA,34306610,10.5,94.9
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-11-11",NA,NA,34306610,10.5,94.9
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-11-30",NA,NA,34306672,12,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-11-30",NA,NA,34306672,12,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2011-09-02",NA,NA,34307630,12,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2011-09-02",NA,NA,34307630,12,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2011-10-07",NA,NA,34307755,11.6,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2011-10-07",NA,NA,34307755,11.6,100
"WARMSPRINGS09","Mariel Creek","OR_SR_1707030110_05_102624","Deschutes","2014-12-19",NA,NA,34408321,11.13,100
"WARMSPRINGS09","Mariel Creek","OR_SR_1707030110_05_102624","Deschutes","2014-12-19",NA,NA,34408321,11.13,100
"WARMSPRINGS09","Mariel Creek","OR_SR_1707030110_05_102624","Deschutes","2014-12-19",NA,NA,34408327,11.09,100
"WARMSPRINGS09","Mariel Creek","OR_SR_1707030110_05_102624","Deschutes","2014-12-19",NA,NA,34408327,11.09,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2009-10-27",NA,NA,34582241,11.5,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2009-10-27",NA,NA,34582241,11.5,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2009-11-12",NA,NA,34582251,10.7,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2009-11-12",NA,NA,34582251,10.7,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2009-11-24",NA,NA,34582261,10,98.7
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2009-11-24",NA,NA,34582261,10,98.7
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2010-11-04",NA,NA,34583112,10.7,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2010-11-04",NA,NA,34583112,10.7,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2010-11-17",NA,NA,34583158,10.2,99.1
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2010-11-17",NA,NA,34583158,10.2,99.1
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2011-11-14",NA,NA,34584299,10.5,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2011-11-14",NA,NA,34584299,10.5,100
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2010-12-07",NA,NA,34583225,8.8,79.4
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2010-12-07",NA,NA,34583225,8.8,79.4
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2011-12-06",NA,NA,34584374,8.7,80.9
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2011-12-06",NA,NA,34584374,8.7,80.9
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2011-12-20",NA,NA,34584428,8.9,85.1
"WARMSPRINGS09","Whiskey Dicks","OR_SR_1707030611_05_101828","Deschutes","2011-12-20",NA,NA,34584428,8.9,85.1
