"","OrganizationID","MLocID","StationDes","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","wqstd_code","Pollu_ID","Char_Name","SampleMedia","SampleSubmedia","Sample_Fraction","Result_status","Statistical_Base","Time_Basis","SampleStartDate","SampleStartTime","Act_Depth_Top","act_depth_height","Result_Type","Result_UID","Result_Numeric","Result_Unit","DO_res","Result_Operator","IRWQSUnitName","lab_Comments","General_Comments","QualifierAbbr","QualifierTxt","DO_code","DO_Class","DO_SpawnCode","SpawnStart","SpawnEnd","crit_30D","crit_7Mi","crit_Min","DO_sat","Temp_res","Violation"
"1","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2016-05-16,"13:42:00",NA,NA,"Actual",46862061,8.9,"mg/l",8.9,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,100,16.9,0
"2","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2013-09-24,"10:15:00",NA,NA,"Actual",45246131,8.3,"mg/l",8.3,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,92,13.8,1
"3","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2013-09-24,"10:15:00",NA,NA,"Actual",45246131,8.3,"mg/l",8.3,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,92,13.8,1
"4","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2013-09-24,"10:15:00",NA,NA,"Actual",45246131,8.3,"mg/l",8.3,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,92,13.8,1
"5","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2013-09-24,"10:15:00",NA,NA,"Actual",45246131,8.3,"mg/l",8.3,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,92,13.8,1
"6","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2012-09-17,"11:34:00",NA,NA,"Actual",47284624,8,"mg/l",8,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,89,15.1,1
"7","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2013-05-14,"11:30:00",NA,NA,"Actual",45245207,8.7,"mg/l",8.7,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,100,18.8,0
"8","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2015-09-21,"07:31:00",NA,NA,"Actual",45246754,6.6,"mg/l",6.6,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,71,13.1,1
"9","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2012-07-16,"17:40:00",NA,NA,"Actual",47281027,7.8,"mg/l",7.8,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,100,24.2,0
"10","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2017-05-15,"14:03:00",NA,NA,"Actual",46862200,9.7,"mg/l",9.7,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,100,11.9,0
"11","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2015-03-23,"12:41:00",NA,NA,"Actual",45246573,10.4,"mg/l",10.4,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,100,9.3,0
"12","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2014-09-22,"14:37:00",NA,NA,"Actual",45246340,8.7,"mg/l",8.7,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,100,22,0
"13","OREGONDEQ","11047-ORDEQ","Malheur River at Hwy 20 (Drewsey)","River/Stream","Cottonwood Creek-Malheur River",3498,"OR_SR_1705011607_05_102752",2,2,5,"Malheur",3,154,"Dissolved oxygen (DO)","Water","Surface Water","Dissolved","Final",NA,NA,2014-07-28,"14:11:00",NA,NA,"Actual",45246303,6.6,"mg/l",6.6,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",24,"1/1","5/15",6.5,5,4,89,23.5,1
