"","OrganizationID","MLocID","StationDes","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","wqstd_code","Pollu_ID","Char_Name","SampleMedia","SampleSubmedia","Sample_Fraction","Result_status","Statistical_Base","Time_Basis","SampleStartDate","SampleStartTime","Act_Depth_Top","act_depth_height","Result_Type","Result_UID","Result_Numeric","Result_Unit","DO_res","Result_Operator","IRWQSUnitName","lab_Comments","General_Comments","QualifierAbbr","QualifierTxt","DO_code","DO_Class","DO_SpawnCode","SpawnStart","SpawnEnd","crit_30D","crit_7Mi","crit_Min","DO_sat","Temp_res","Violation"
"1","MFWWC(NOSTORETID)","37294-ORDEQ","Silk Cr at Lorane Rd","River/Stream","Silk Creek-Coast Fork Willamette River",656,"OR_SR_1709000203_02_103782",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2008-11-12,"08:55:00",NA,NA,"Actual",47173073,9,"mg/l",9,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,"1/1","6/15",6.5,5,4,83.14694072835,10.8,1
"2","MFWWC(NOSTORETID)","37301-ORDEQ","Gettings Cr at Meyer Rd","River/Stream","Hill Creek-Coast Fork Willamette River",797,"OR_WS_170900020401_02_104238",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2010-04-14,"09:35:00",NA,NA,"Actual",47176879,11.19,"mg/l",11.19,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",2,"Cold Water",25,"1/1","6/15",8,6.5,6,93.4106160079534,6.4,0
"3","MFWWC(NOSTORETID)","37313-ORDEQ","Middle Fork Willamette at SUB Treatment Plant","River/Stream","Mill Race-Middle Fork Willamette River",458,"OR_SR_1709000110_02_104584",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2010-09-08,"08:23:00",NA,NA,"Actual",47178321,7.99,"mg/l",7.99,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","NULL","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",2,"Cold Water",13,"9/1","6/15",8,6.5,6,83.8415247263634,16.9,1
"4","WRK_(NOSTORETID)","10363-ORDEQ","Yamhill River at Dayton","River/Stream","Hawn Creek-Yamhill River",67,"OR_SR_1709000807_02_104061",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2010-02-16,"10:55:00",NA,NA,"Actual",45637423,10.55,"mg/l",10.55,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,"1/1","6/15",6.5,5,4,NA,NA,1
"5","WRK_(NOSTORETID)","10873-ORDEQ","Abernathy CR at Washington Street (Old HWY 213) in Oregon City","River/Stream","Abernethy Creek",23,"OR_SR_1709000704_02_104017",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2009-07-10,"09:46:00",NA,NA,"Actual",45628230,7.22,"mg/l",7.22,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",20,"10/15","6/15",6.5,5,4,76.0132795260842,17.8,1
"6","WRK_(NOSTORETID)","10372-ORDEQ","Calapooia River at 3rd Street (Albany-Bryant Park)","River/Stream","Calapooia River",179,"OR_SR_1709000304_02_103821",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2009-04-19,"15:00:00",NA,NA,"Actual",45626590,9.85,"mg/l",9.85,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,"1/1","6/15",6.5,5,4,91.9746794486661,12,1
"7","WRK_(NOSTORETID)","10658-ORDEQ","Luckiamute River at Lower Bridge","River/Stream","Nisley Reservoir-Luckiamute River",159,"OR_SR_1709000305_02_103829",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2010-03-19,"10:30:00",NA,NA,"Actual",45632022,10.33,"mg/l",10.33,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,"1/1","6/15",6.5,5,4,87.2813879843501,7.8,1
"8","WRK_(NOSTORETID)","11054-ORDEQ","Mary's River at Avery Park Bridge (Corvallis)","River/Stream","Lower Marys River",201,"OR_SR_1709000302_02_103812",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2009-11-11,"00:00:00",NA,NA,"Actual",45630406,10.36,"mg/l",10.36,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","NULL","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,"1/1","6/15",6.5,5,4,NA,NA,1
"9","WRK_(NOSTORETID)","10362-ORDEQ","Pudding River at Arndt Road (Barlow)","River/Stream","Mill Creek-Pudding River",77,"OR_SR_1709000905_02_104088",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2011-07-18,"10:05:00",NA,NA,"Actual",45613902,7.31,"mg/l",7.31,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","NULL","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,"1/1","6/15",6.5,5,4,77.9010045515467,18.3,1
"10","WRK_(NOSTORETID)","11275-ORDEQ","Coast Fork Willamette at Mt. Pisgah Park","River/Stream","Papenfus Creek-Coast Fork Willamette River",452,"OR_SR_1709000204_02_103787",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2010-08-10,"10:30:00",NA,NA,"Actual",45634992,8.3,"mg/l",8.3,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",3,"Cool Water",25,"1/1","6/15",6.5,5,4,88.3513456351414,17.6,1
