"","OrganizationID","MLocID","StationDes","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","wqstd_code","Pollu_ID","Char_Name","SampleMedia","SampleSubmedia","Sample_Fraction","Result_status","Statistical_Base","Time_Basis","SampleStartDate","SampleStartTime","Act_Depth_Top","act_depth_height","Result_Type","Result_UID","Result_Numeric","Result_Unit","IRResultNWQSunit","Result_Operator","IRWQSUnitName","lab_Comments","General_Comments","QualifierAbbr","QualifierTxt","DO_code","DO_Class","DO_SpawnCode","SpawnStart","SpawnEnd","crit_30D","crit_7Mi","crit_Min","in_spawn","critstart","critend","is.crit","DO_sat","Violation"
"1","CRK_WQX","21877-ORDEQ","West Fork Hood River northwest of Hwys 10 & 18 junction","River/Stream","Upper West Fork Hood River",2264,"OR_SR_1707010506_02_101511",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2008-09-06,"13:50:00.0000000",NA,NA,"Actual",43898323,10.47,"mg/l",10.47,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","NULL","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",2,"Cold Water",NA,NA,NA,8,6.5,6,0,2008-07-01,2008-09-30,1,NA,0
"2","OREGONDEQ","34787-ORDEQ","West Fork Hood River at Moving Falls (RM 2.5)","River/Stream","Lower West Fork Hood River",1010,"OR_SR_1707010506_02_101511",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2008-05-28,"11:30:00.0000000",NA,NA,"Actual",48272100,13.4,"mg/l",13.4,"=","mg/l",NA,"NULL","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",2,"Cold Water",NA,NA,NA,8,6.5,6,0,2008-07-01,2008-09-30,0,NA,0
"3","CRK_WQX","34173-ORDEQ","Phelps Creek between Country Club Road and I-84 (Columbia)","River/Stream","Grays Creek-Columbia River",337,"OR_LK_1707010511_88_100135",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water",NA,"Dissolved","Final",NA,NA,2012-07-24,"14:50:00.0000000",NA,NA,"Actual",48792973,9.24,"mg/l",9.24,"=","mg/l",NA,"2012-07-24; Equip: chum","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",2,"Cold Water",24,2012-01-01,2012-05-15,8,6.5,6,0,2012-07-01,2012-09-30,1,NA,0
"4","CRK_WQX","34174-ORDEQ","Whiskey Creek off HWY 35 upstream of culvert (Hood, Columbia)","River/Stream","Indian Creek-Hood River",387,"OR_WS_170701050703_02_102007",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water",NA,"Dissolved","Final",NA,NA,2010-04-15,"10:40:00.0000000",NA,NA,"Actual",48787394,12.36,"mg/l",12.36,"=","mg/l",NA,"Equip: YSI 556: Chinook","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",2,"Cold Water",20,2010-10-15,2011-06-15,8,6.5,6,0,2010-07-01,2010-09-30,0,NA,0
"5","CRK_WQX","12012-ORDEQ","Hood River at footbridge downstream of I-84","River/Stream","Indian Creek-Hood River",74,"OR_SR_1707010507_02_101512",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2008-09-10,"12:25:00.0000000",NA,NA,"Actual",43898353,11.5,"mg/l",11.5,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","NULL","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",2,"Cold Water",0,NA,NA,8,6.5,6,0,2008-07-01,2008-09-30,1,NA,0
"6","CRK_WQX","12012-ORDEQ","Hood River at footbridge downstream of I-84","River/Stream","Indian Creek-Hood River",74,"OR_SR_1707010507_02_101512",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water",NA,"Dissolved","Final",NA,NA,2013-04-17,"09:50:00.0000000",NA,NA,"Actual",48794433,12.73,"mg/l",12.73,"=","mg/l",NA,"cal. 4/17/13; Equip: chinook","DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",2,"Cold Water",0,NA,NA,8,6.5,6,0,2013-07-01,2013-09-30,0,NA,0
"7","CRK_WQX","35264-ORDEQ","Columbia River Backwater Pool at Nichols Boatworks, Hood River","River/Stream","Grays Creek-Columbia River",74,NA,2,2,88,"Hood",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2008-07-18,"11:45:00.0000000",NA,NA,"Actual",43902265,8.71,"mg/l",8.71,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","NULL","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",30,2008-10-15,2009-03-31,6.5,5,4,0,2008-07-01,2008-09-30,1,NA,0
"8","CRK_WQX","35264-ORDEQ","Columbia River Backwater Pool at Nichols Boatworks, Hood River","River/Stream","Grays Creek-Columbia River",74,NA,2,2,88,"Hood",3,154,"Dissolved oxygen (DO)","Water","Surface Water",NA,"Final",NA,NA,2008-08-17,"11:00:00.0000000",NA,NA,"Actual",43904205,8.6,"mg/l",8.6,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","NULL","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",30,2008-10-15,2009-03-31,6.5,5,4,0,2008-07-01,2008-09-30,1,NA,0
"9","HRWG_AW(NOSTORETID)","13141-ORDEQ","Neal Creek at mouth (upstream of bridge)","River/Stream","Neal Creek",292,"OR_WS_170701050701_02_102005",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water",NA,"Dissolved","Final",NA,NA,2009-07-08,"12:45:00.0000000",NA,NA,"Actual",48726303,10.2,"mg/l",10.2,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",2,"Cold Water",20,2009-10-15,2010-06-15,8,6.5,6,0,2009-07-01,2009-09-30,1,NA,0
"10","HRWG_AW(NOSTORETID)","13141-ORDEQ","Neal Creek at mouth (upstream of bridge)","River/Stream","Neal Creek",292,"OR_WS_170701050701_02_102005",2,2,2,"Hood",3,154,"Dissolved oxygen (DO)","Water",NA,"Dissolved","Final",NA,NA,2009-09-16,"12:30:00.0000000",NA,NA,"Actual",48726598,10.4,"mg/l",10.4,"=","mg/l",NA,NA,"DQL=A","Data of known Quality; meets QC limits established in a DEQ approved QAPP.",2,"Cold Water",20,2009-10-15,2010-06-15,8,6.5,6,0,2009-07-01,2009-09-30,1,NA,0
