"","x"
"1","Ptychocheilus oregonensis"
"2","Catostomus macrocheilus"
"3","Micropterus dolomieu"
"4","Pacifastacus leniusculus"
"5","Exopalaemon modestus"
"6","Micropterus salmoides"
"7","Oncorhynchus mykiss"
"8","Mya arenaria"
"9","Ostrea lurida"
"10","Mytilus californianus"
"11","Gila bicolor***retired***use Siphateles bicolor"
"12","Gila coerulea"
"13","Acipenser transmontanus"
"14","Margaritifera falcata"
"15","Lampetra tridentata***retired***use Entosphenus tridentatus"
"16","Nuttallia obscurata"
"17","Cyprinus carpio"
"18","Salvelinus fontinalis"
"19","Catostomus columbianus"
"20","Pomoxis nigromaculatus"
"21","Ameiurus nebulosus"
"22","Salmo trutta"
"23","Pimephales promelas"
"24","Lepomis gibbosus"
"25","Siphateles bicolor"
"26","Perca flavescens"
"27","Oncorhynchus clarki"
"28","Oncorhynchus nerka"
"29","Lepomis macrochirus"
"30","Prosopium williamsoni"
"31","Oncorhynchus clarkii"
"32","Ictalurus punctatus"
